"concerncode","bedrijfsnaam","plaats","geestelijkegezondheidszorg","gehandicaptenzorg","thuiszorg","omzet","winst","personeelskostentotaal","fte","jaar","perc_winst","perc_loon","omzet_fte"
"X9CMX8ZZCK","Stichting Zorggroep Plantein","Joure","no","no","yes","42865903","-470602","31094209",NA,2011,-1.1,72.5,NA
"9NLTWC4S57","Zuidoostzorg","DRACHTEN","no","no","yes","63414443","1039047","44479628",NA,2011,1.6,70.1,NA
"NWNW82SQ86","Stichting Thuiszorg Diensten Centrale","STEENWIJK","no","no","yes","13060206","287765","12288620",NA,2011,2.2,94.1,NA
"YAWRYT9XGG","Centrum Ambulante Geestelijke Gezondheidszorg Buitenpost","BUITENPOST","yes","no","no","2155611","854746","994269",NA,2011,39.7,46.1,NA
"9N3KTVMH9B","De Noorderbrug","GRONINGEN","no","yes","no","46817000","-265000","32052000",NA,2011,-0.6,68.5,NA
"7FXR6B89Y6","Terwille","GRONINGEN","yes","no","no","1976609","97468","1371921",NA,2011,4.9,69.4,NA
"NWN4GRH3AK","De Hoven","WINSUM GN","no","no","yes","42969780","1019123","27850251",NA,2011,2.4,64.8,NA
"WPQKRFR5H9","Stichting Koninklijke Kentalis","Sint-Michielsgestel","no","yes","no","231350000","1147000","180881000",NA,2011,0.5,78.2,NA
"QKHXM5LS66","Verslavingszorg Noord Nederland","GRONINGEN","yes","no","no","67615192","687577","51707878",NA,2011,1,76.5,NA
"WPQG42ULMG","Residentie Buitenzorg","TYNAARLO","no","no","yes","1667191","159072","1055028",NA,2011,9.5,63.3,NA
"YAZ9PRSNSB","Zorggroep Groningen","GRONINGEN","no","no","yes","56779906","2455721","32444207",NA,2011,4.3,57.1,NA
"7FM9G76AX9","Promens Care","ASSEN","yes","yes","no","109548382","5497951","68164443",NA,2011,5,62.2,NA
"WPQUKXDCU7","Interzorg Noord-Nederland","ASSEN","no","no","yes","58010047","1280171","38650990",NA,2011,2.2,66.6,NA
"X992743LNB","Noord Nederlandse Coöperatie Van Zorginstellingen UA","HOOGEVEEN","no","no","yes","15597000","467000","9273000",NA,2011,3,59.5,NA
"YAZ7UUHPFR","Yorneo","ASSEN","yes","no","no","30014816","94284","21801798",NA,2011,0.3,72.6,NA
"9N3F5HJUM6","Zorggroep Tangenborgh","EMMEN","no","no","yes","71554044","1644296","47210273",NA,2011,2.3,66,NA
"QV6L8EY2W9","MensEnZorg","SMILDE","no","no","yes","4333819","85244","4195572",NA,2011,2,96.8,NA
"7FM7D5T4BG","Zorgcombinatie Noorderboog","MEPPEL","no","no","yes","130115423","2622649","79950539",NA,2011,2,61.4,NA
"9NGVNFQDUK","Stichting Zorg-Samen Het Zand","Zwolle","no","no","yes","30660591","496379","21655594",NA,2011,1.6,70.6,NA
"3G8G6SCUN9","Isala Klinieken","ZWOLLE","yes","no","no","429876778","21355558","224123408",NA,2011,5,52.1,NA
"QV6DGC6RJG","Frion","ZWOLLE","no","yes","no","47366123","39431","31262146",NA,2011,0.1,66,NA
"7FMRR3X2P7","Zorggroep Raalte","RAALTE","no","no","yes","12847831","130850","9182701",NA,2011,1,71.5,NA
"WPPV7UGA3R","Saxenburgh Groep","HARDENBERG","yes","no","yes","101184164","291344","64111407",NA,2011,0.3,63.4,NA
"X9E3TMVKET","Hanzeheerd","HATTEM","no","no","yes","9328758","307736","5666604",NA,2011,3.3,60.7,NA
"3G8B86KDQG","Driezorg - voor Wonen, Zorg en Welzijn","ZWOLLE","no","no","yes","31762305","854935","19807384",NA,2011,2.7,62.4,NA
"7F264EWRLB","Berkumstede","ZWOLLE","no","no","yes","7850525","195395","4309685",NA,2011,2.5,54.9,NA
"NWUCLQP29R","Christelijke Zorgcombinatie Zwolle en omgeving","ZWOLLE","no","no","yes","33456401","797204","20978249",NA,2011,2.4,62.7,NA
"WPP5WN948T","Max Ernst B.V.","ARNHEM","yes","no","no","4784491","436136","2578405",NA,2011,9.1,53.9,NA
"3G8T34APE7","Mediant, Stichting voor Geestelijke Gezondheidszorg Oost- en Midden Twente","ENSCHEDE","yes","no","no","58687759","2488227","44704069",NA,2011,4.2,76.2,NA
"7F2EKCNUVR","Stichting Nusantara Beheer","UGCHELEN","no","no","yes","7892727","-1309893","5821153",NA,2011,-16.6,73.8,NA
"NWUP7GGRYT","De Goede Zorg","APELDOORN","no","no","yes","14995120","561526","9362875",NA,2011,3.7,62.4,NA
"WPPUTJV2S6","De Passerel","APELDOORN","no","yes","no","24652531","1124055","13944429",NA,2011,4.6,56.6,NA
"YARJ55NYL9","Zorggroep Ena","Voorthuizen","no","no","yes","11284521","142060","7312674",NA,2011,1.3,64.8,NA
"NWUZWLEBH6","De Twentse Zorgcentra voor Mensen met een Verstandelijke Handicap","ENSCHEDE","no","yes","no","107817000","4630000","68936000",NA,2011,4.3,63.9,NA
"WPP4SPSZFK","Trivium Meulenbelt Groep","BORNE","no","no","yes","76638058","3300390","49271793",NA,2011,4.3,64.3,NA
"9N583US8AB","De Posten","ENSCHEDE","no","no","yes","22363269","1184992","14746205",NA,2011,5.3,65.9,NA
"WP789GHBR9","Thuiszorg Beers B.V.","Wenum Wiesel","no","no","yes","3339792","1092509","1842312",NA,2011,32.7,55.2,NA
"X9LGBJRZWG","CaroCare B.V.","VROOMSHOOP","no","no","yes","2162177","150198","1453205",NA,2011,6.9,67.2,NA
"YAXAXEGF67","Stichting Zozijn Beheer","TWELLO","no","yes","no","113088042","2016617","75853195",NA,2011,1.8,67.1,NA
"VMN9VQVH4B","Zorggroep Noordwest-Veluwe","ERMELO","no","no","yes","56502274","1513730","35069211",NA,2011,2.7,62.1,NA
"WP7QQLTJNG","Protestants Christelijke Stichting voor Zorgverlening Het Baken","ELBURG","no","no","yes","24335191","20111","16237405",NA,2011,0.1,66.7,NA
"X9LBMPUBJ7","GGNet","WARNSVELD","yes","no","no","160867000","4610000","110320000",NA,2011,2.9,68.6,NA
"YAXEHCEX2B","Betere Thuiszorg Twente & Achterhoek","HENGELO OV","no","no","yes","2746102","51586","2646657",NA,2011,1.9,96.4,NA
"3GCFYUUSW6","Carint Reggeland Groep","HENGELO OV","no","no","yes","177141016","4132498","121046669",NA,2011,2.3,68.3,NA
"7FTE2HC9D9","TACTUS Groep","DEVENTER","yes","no","no","74133490","2037428","51075133",NA,2011,2.7,68.9,NA
"NWW79K637G","Thuiszorg Rondom B.V.","ENSCHEDE","no","no","yes","847018","-284167","781228",NA,2011,-33.5,92.2,NA
"WP7WB9XQQ7","Professionals in NAH B.V.","Lochem","no","yes","no","3656513","331153","3009563",NA,2011,9.1,82.3,NA
"VMNRJEHXBT","Aveleijn","BORNE","no","yes","no","85693000","3566000","52602000",NA,2011,4.2,61.4,NA
"9N54FQRTN6","Stichting Protestants Christelijke Woonzorg Unie Veluwe","NUNSPEET","no","no","yes","29239209","554039","19510927",NA,2011,1.9,66.7,NA
"3G9VENJHJK","Zorggroep Apeldoorn en omstreken","APELDOORN","no","no","yes","71950175","770954","50016464",NA,2011,1.1,69.5,NA
"NWWRQAF937","Beeuwkes Thuiszorg","EDE GLD","no","no","yes","4020272","-565115","4254278",NA,2011,-14.1,105.8,NA
"X93V83PQCR","HSK Groep","ARNHEM","yes","no","no","26669000","3252000","17810000",NA,2011,12.2,66.8,NA
"YAXM3YYNJT","De Waalboog, Zorg, Welzijn en Wonen","NIJMEGEN","no","no","yes","41776518","1999656","28132704",NA,2011,4.8,67.3,NA
"VMB6ZCTW76","Siza","ARNHEM","no","yes","no","118330000","2469000","76116000",NA,2011,2.1,64.3,NA
"3G95PJQTG9","Diafaan","ZEVENAAR","no","no","yes","34078117","858714","21112881",NA,2011,2.5,62,NA
"QVSN2WCHLG","Stichting Sensire","TERBORG","no","no","yes","164883000","-1538000","138918000",NA,2011,-0.9,84.3,NA
"NWZ6NHMV8B","Zorgcentra Betuweland","BEMMEL","no","no","yes","12276498","73960","9104667",NA,2011,0.6,74.2,NA
"YAMSJA6756","Welzijn Rijnwaarden","LOBITH","no","no","yes","220740","-6355","108875",NA,2011,-2.9,49.3,NA
"VMB9FVXN3K","Pleyade","ARNHEM","no","no","yes","48123475","500123","31574635",NA,2011,1,65.6,NA
"9NQPELDWE9","Hendriks & Roosenboom B.V.","ARNHEM","yes","no","no","2020341","206003","1284219",NA,2011,10.2,63.6,NA
"QVSTABKTV7","Opella, Christelijke voor Wonen, Zorg en Welzijn","BENNEKOM","no","no","yes","62928529","2498498","46728327",NA,2011,4,74.3,NA
"7FFS5RFHYB","Stichting Pluryn Hoenderloo Groep","OOSTERBEEK","yes","yes","no","207977213","44074","147020625",NA,2011,0,70.7,NA
"NWZ9XFZSAR","De Gouden Leeuw Groep BV","LAAG - KEPPEL","no","no","yes","7938031","34542","5428702",NA,2011,0.4,68.4,NA
"YAMLW4F59K","Attent wonen welzijn zorg","RHEDEN","no","no","yes","57732999","305945","39847058",NA,2011,0.5,69,NA
"3G9F259WS7","Vilente","EDE GLD","no","no","yes","50996577","1101520","32368429",NA,2011,2.2,63.5,NA
"QVYKCDAX6B","Stichting Zorgcombinatie Marga Klompe","GROENLO","no","no","yes","70491414","1599797","49806447",NA,2011,2.3,70.7,NA
"7FFLNWM24R","Welcom","DIDAM","no","no","yes","2598140","47803","1614153",NA,2011,1.8,62.1,NA
"NWZ7H2N4TT","NOVA Zorgboerderij V.O.F.","PANNERDEN","yes","yes","no","342080","170342","56530",NA,2011,49.8,16.5,NA
"YAMDTTMLY9","InterCare","Nijmegen","no","no","yes","4981553","794593","4090941",NA,2011,16,82.1,NA
"VMBXEAN5AG","IrisZorg","ARNHEM","yes","no","no","95763579","2588147","66511423",NA,2011,2.7,69.5,NA
"7FFDXBZRXT","ZZG zorggroep","GROESBEEK","no","no","yes","142863075","4580613","105772188",NA,2011,3.2,74,NA
"WPJHJ4E4WK","De Karmel wonen en dagbesteding B.V.","Angeren","no","yes","no","4861954","624040","776049",NA,2011,12.8,16,NA
"X9GV4YYAB9","Careaz","LICHTENVOORDE","no","no","yes","21992792","839184","14304776",NA,2011,3.8,65,NA
